"","CaseID","god_open","rel_groups","god_y","pct_believe","pct_nonbelieve","church","pray","gender_ident","sex_or","social_cons","econ_cons","vote2016","candidate2016","stem","age","educ","female","sbs_m","sbs_sd","crt","crtZ","pt_m","pt_sd","cred_m","cred_sd","mot_m","mot_sd","tfa_m","tfa_sd","eXtra_m","eXtra_sd","Consc_m","Consc_sd","Neuro_m","Neuro_sd","Agree_m","Agree_sd","Open_m","Open_sd","Hum_m","Hum_sd"
"1",3,"I grew up believe but science us fact","Atheist",0,50,50,4,1,"female",NA,5,5,0,"NA",0,27,9,1,-1.53689520908331,-0.198810416753896,0,-1.19600910879151,-1.73817128369921,-0.151671413473385,0.00722809553729986,0.686063905455394,1.36180328583108,-0.53059168751239,0.362658489462454,-0.507483855955016,-0.390315042133703,0.994524595849139,-0.737257695330156,0.416041915207983,1.36818719659422,-0.205266590312902,-0.232323268416855,0.831142618349937,-0.19045217791494,-0.537992927670522,-0.0477691892625349,2.89954034212446
"2",4,"I believe it's all a mental) physcoligical thing.","I was baptised Catholic. Raised Christian",0,80,20,2,NA,"female",NA,3,3,1,"third",0,35,10,1,-0.863272104857468,1.49360569309452,0,-1.19600910879151,1.37235886176069,-0.678132638194292,-1.6981124108901,-1.61460311079585,3.39736908990514,0.105382532160072,1.22474034570093,2.56728267889894,1.16738208452271,0.841046881152138,1.839709519775,-0.821146228097169,-0.716868044735094,1.30387185925904,-0.503596585221973,1.66631146577659,1.53916089374973,0.107985709729587,-1.81586611449982,1.87867748658835
"3",5,"There is one God.","Catholic",1,60,40,7,5,"female",NA,3,5,1,"third",0,71,12,1,0.055304855450494,-0.237525509121772,4,0.306757379488313,NA,NA,-0.845442157676401,-0.187789997101505,-0.673762518242978,-1.06896254888285,-0.12995971410239,-1.35611658761408,0.499797601669962,-0.794542754918982,0.0358324692013903,0.6704080637013,-0.0218496309586545,0.598121766510611,0.581496681998496,-0.369319049820124,0.550810567084204,-0.669457453849157,-0.931817651881178,-0.798244727250543
"4",6,"No","None",0,50,50,2,1,"male",NA,2,2,1,"clinton",0,24,13,0,-1.41441828104224,0.410796138164446,6,1.05814062362823,-1.00628183770865,-1.94912246697906,-1.6981124108901,-1.61460311079585,0.00475941644837506,-1.94694964818465,-0.622577917667233,1.44995092921715,-0.390315042133703,0.562117285004919,-1.5103478598617,0.469374076303181,0.441495978225638,0.367357946238417,0.581496681998496,0.375773431607088,1.04498573041697,-0.669457453849157,-0.931817651881178,0.383761644832993
"6",8,"","methodist",1,80,20,6,5,"female",NA,4,4,1,"trump",0,67,14,1,0.055304855450494,-0.237525509121772,5,0.682449001558269,-0.274392391718083,-0.499971098647707,-0.333840005748181,1.51138780006246,-0.673762518242978,-1.73330035170981,-0.253114264993601,-0.0958929836558958,-0.167786881182787,-0.656157913738697,-0.47956097381964,-0.00538809827533266,-0.94854084932724,-0.610173283182143,-0.77486990202709,-0.505680438005696,0.550810567084204,0.107985709729587,-0.931817651881178,0.760501713613999
"7",9,"I believe there is a supreme being.","Presbyterian",1,65,35,7,6,"male",NA,4,6,1,"trump",0,69,14,0,0.48397410359421,0.258394499434861,7,1.43383224569818,-0.0914200302204411,-0.197183890641057,0.177762146180041,-0.0516076553666977,-1.86117590395284,-0.842477873083562,0.855276693027297,0.714194199324495,-1.50295584688828,-0.228309055351447,0.0358324692013903,0.6704080637013,-1.41188645851153,0.367357946238417,0.310223365193379,-0.505680438005696,0.550810567084204,-0.669457453849157,1.27830350466543,-0.0852318510803894
"8",10,"I believe that there is a God somewhere around us but am never sure where or how--I just want to believe","jewish",1,60,40,2,2,"female",NA,2,2,1,"clinton",0,66,12,1,-1.16946442496012,1.55283133442771,0,-1.19600910879151,-1.37222656070393,0.806317821052846,-1.18651025896188,-0.0516076553666977,1.0225423184854,2.1016776794802,-1.48465977390571,1.66766864100048,0.944853923571795,3.01609133861082,1.839709519775,-0.821146228097169,0.673168782817784,2.41301446656203,1.12404331560873,0.0522738339502235,-0.931714922914084,0.107985709729587,-0.489793420571857,1.37304144298789
"9",11,"Idk","None",1,85,15,1,3,"female",NA,4,4,-1,"NA",0,29,9,1,-0.557079784754814,-1.41802352659058,0,-1.19600910879151,-1.00628183770865,-1.94912246697906,-0.504374056390921,-1.61460311079585,0.00475941644837506,-1.94694964818465,-0.376268815884812,-0.229574676828596,0.499797601669962,0.0238251489241735,-1.5103478598617,-0.694948006226479,0.209823173633492,0.0333476418187074,-1.04614321883221,-1.38713430761848,-0.437539759581321,0.107985709729587,-1.15282976753584,-0.677675270451299
"11",13,"I believe in the Triune God, Father, Son, and Holy Spirit. maker of the universe, redeemer of all who believe, and giver of faith.","Lutheran",1,60,40,7,5,"female",NA,5,4,1,"third",0,67,13,1,0.667689495655802,-0.0549018302637086,6,1.05814062362823,0.0915523312771992,-0.291954477218709,1.03043239939374,-0.187789997101505,-0.50413203457014,-0.770542373861631,-0.376268815884812,0.224457610770774,0.944853923571795,0.0238251489241735,0.293529190711906,-0.821146228097169,-0.94854084932724,-0.610173283182143,1.66658994921896,-0.369319049820124,1.04498573041697,-0.669457453849157,1.05729138901077,-1.57761794768281
"12",14,"It is a complete creation of men trying to explain the unknown.","None.",0,75,25,1,NA,"male",NA,2,5,1,"clinton",0,61,10,0,-1.59813367310384,0.632330825035212,1,-0.820317486721556,0.457497054272482,0.288686047865413,-0.16330595510544,-0.187789997101505,-1.18265396926149,0.727974472094126,0.485813040353664,-0.218935404919043,0.722325762620879,0.0999909204650784,0.808922633732936,-0.074846464190925,-1.18021365391939,0.0333476418187074,0.310223365193379,0.30072135038952,0.0566354037514411,0.619359065452468,0.394255042046787,1.08444839167614
